id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
1,2022-09-09,18:58:57,Homicide,Philadelphia,PA,9916 Broadway,34,Male,Other
2,2022-07-10,12:10:59,Assault,Phoenix,AZ,6853 Oak St,13,Female,Black
3,2024-12-31,09:26:12,Burglary,San Antonio,TX,3760 Maple Ave,23,Male,Asian
4,2024-04-12,23:17:28,Vandalism,Philadelphia,PA,6781 Main St,36,Other,Asian
5,2023-07-19,04:49:39,Fraud,San Antonio,TX,3239 Broadway,26,Other,Other
6,2021-09-30,03:17:56,Drug Offense,Chicago,IL,635 Oak St,70,Non-binary,Other
7,2024-11-22,08:41:48,Homicide,Philadelphia,PA,2725 Pine St,48,Other,Asian
8,2023-12-09,08:10:36,Drug Offense,Houston,TX,457 Pine St,47,Non-binary,Asian
9,2020-08-06,04:13:54,Fraud,Houston,TX,7584 Oak St,28,Other,Black
10,2024-04-09,07:18:22,Domestic Violence,San Diego,CA,9233 Main St,44,Female,White
11,2023-03-11,02:36:36,Arson,New York,NY,9278 Elm St,29,Non-binary,Hispanic
12,2023-04-13,22:33:27,Burglary,Chicago,IL,5313 Pine St,20,Female,Other
13,2022-07-27,12:36:44,Domestic Violence,New York,NY,6760 Oak St,30,Other,Hispanic
14,2022-02-03,00:03:33,Theft,San Diego,CA,9702 Elm St,17,Male,Other
15,2020-09-04,06:02:52,Theft,Dallas,TX,786 Oak St,53,Other,White
16,2022-10-08,05:15:36,Homicide,New York,NY,130 Main St,29,Male,Black
17,2021-05-03,18:08:12,Vandalism,Los Angeles,CA,1874 Elm St,90,Female,Asian
18,2023-04-17,05:15:45,Robbery,Philadelphia,PA,8306 Pine St,39,Other,Asian
19,2024-04-21,08:11:18,Domestic Violence,Chicago,IL,9418 Pine St,61,Male,Hispanic
20,2022-04-13,17:50:42,Robbery,Chicago,IL,9097 Broadway,38,Non-binary,Black
21,2021-04-11,13:29:16,Robbery,San Antonio,TX,2022 Oak St,60,Female,Other
22,2021-05-02,18:27:55,Theft,Philadelphia,PA,2397 Elm St,25,Non-binary,White
23,2025-03-22,17:48:24,Burglary,Chicago,IL,6803 Pine St,90,Non-binary,Hispanic
